Temperature,Moisture,Rainfall,PH,Nitrogen,Phosphorous,Potassium,Carbon,Soil,Crop
20.18703134,0.813120986,196.2762786,6.081487644,71.20302919,56.9884235,68.85559521,0.526004445,2,Jute
24.66309451,0.746252828,38.56271472,6.095639838,55.70978073,58.24504773,51.39511697,1.26805391,1,watermelon
18.84266474,0.405510354,108.0220955,6.157794936,63.86793138,60.79967893,54.33133532,2.168816903,2,apple
50.17984508,0.682243168,164.752742,5.137176126,62.65191464,42.43063088,50.03198753,1.514337603,1,Tea
26.87716167,0.764241961,65.70158222,8.82843282,55.90727504,157.334542,80.01153664,2.077316926,0,Mung Bean
11.88256587,0.704715567,85.46164344,5.79931473,54.19250014,49.24480676,46.30578758,0.802241047,2,grapes
22.88531361,0.592075771,117.7120748,6.400163417,57.70458324,82.23125322,64.5282984,-0.280559958,2,orange
35.82780002,0.227436131,224.297123,5.894848643,81.17268955,46.86441534,-20.50910839,1.245213991,1,Rubber
29.10401493,0.528193208,175.0672492,6.205359049,75.44130081,74.90074047,79.05299593,0.747250157,2,Coconut
28.19642077,0.467543526,81.28581474,6.188335306,59.83575922,37.18923968,43.8914194,0.9160037,2,Tobacco
27.36773487,0.502735725,60.46690439,6.651279757,57.82922964,86.49613866,79.72229928,0.893807285,3,Black gram
18.42308629,0.972361206,81.86884366,7.280284509,49.55044669,43.3189186,82.04813919,0.716008343,3,Chickpea
30.86744924,0.675585728,142.490306,6.536292103,65.70222761,64.59535702,59.53059253,1.134859627,2,Ground Nut
36.4043334,0.527822734,121.2398606,6.840029225,69.25147414,142.4185945,138.4978754,1.157243376,3,papaya
24.16339613,0.808636987,228.8844379,7.874057057,74.18316254,49.94836466,79.06910834,1.747827745,1,rice
23.56639217,0.772724861,45.28461871,6.957242844,52.60493876,123.3947317,73.97029899,1.122446551,0,Lentil
28.21714549,0.753447333,200.7521535,5.046364142,63.41136552,32.38784881,54.821233,2.121132552,1,Pigeon Peas
33.73199824,0.69354003,90.91765358,5.929890159,56.44651673,54.86531269,57.3118129,1.874124235,2,Ground Nut
15.58263952,0.48074914,104.8857567,6.162151037,56.94108567,64.16488165,45.85623671,0.61849965,2,grapes
26.71652247,0.478141166,262.5535207,3.908612908,75.10435274,35.49728693,72.61999186,1.38448974,2,Rubber
25.42840509,0.596903724,96.63084445,6.468033261,60.34478573,177.3144812,53.3677058,1.015614468,2,pomegranate
26.01722981,0.598068027,150.7577186,6.219369613,63.93247063,58.78215532,62.85090082,0.957036753,2,Coffee
19.49582469,0.491432033,45.37965608,6.296433426,52.01018375,31.26932982,48.0649389,1.279147023,2,Peas
22.41622364,0.664726247,91.67335353,6.310212371,52.11135691,41.66811753,58.78910695,2.068257065,2,Chickpea
28.21444773,0.545182623,214.8685665,6.310772436,84.03186424,102.761655,118.9387271,1.188141184,3,papaya
21.50738093,0.432545483,45.29887577,6.279455152,53.36180524,74.32431114,52.17898725,2.151569746,2,watermelon
22.23233302,0.613439487,41.92450761,6.720048147,35.52771842,161.3249927,77.76441946,0.84011055,0,watermelon
23.39024489,0.673462848,201.6174306,6.334096754,59.83382896,48.61814026,59.3939418,1.348462375,2,Coffee
10.61747639,0.452769854,92.26980683,5.949264983,57.83124272,49.43896315,54.91613167,1.90649772,2,orange
27.10766383,0.545012143,60.41851217,7.525495037,58.06089162,113.9817574,70.34663632,2.154824358,3,Cotton
21.19110096,0.568332635,119.5105814,6.15791883,62.89371287,59.40382241,58.86632793,1.925615356,2,apple
25.01917779,0.460226214,70.50051211,5.818009696,56.15467406,51.02807227,45.31955342,0.95307714,2,Tobacco
27.96791528,0.694926457,72.99033552,6.143096296,60.82277952,44.09356773,56.07148501,2.448915749,1,grapes
31.06568436,0.664580568,65.16636094,5.917801819,86.96971052,48.90287699,57.5297149,0.665824792,2,Ground Nut
17.94956014,0.227436131,46.54446056,6.468002671,48.63849752,58.4214392,68.48586413,1.235288388,3,Peas
42.31752318,0.579263318,31.65078522,6.667224754,52.42840604,33.1233386,50.95088705,2.227398893,3,millet
31.30564776,0.743957674,168.8349133,6.403366904,71.84451747,96.35011632,81.91002923,0.845283225,0,Sugarcane
33.10778253,0.795376896,65.24441071,7.444581098,55.76237491,78.66758695,67.52948401,1.309404059,0,Black gram
28.55981866,0.644258758,104.7847157,3.908612908,67.86261048,57.38333208,56.91233665,0.43094386,4,orange
29.748201,0.546830476,86.69658669,3.908612908,65.81372233,60.69240809,59.93131333,2.005477935,2,Sugarcane
50.17984508,0.227436131,275.5447962,8.82843282,74.99064102,128.6316816,129.0999853,0.843296088,0,rice
43.35998253,0.42517897,47.43890007,5.910178055,52.02295955,29.27596605,38.22798055,2.055323214,2,millet
29.26256009,0.563571305,158.6088021,5.500306175,74.07672376,52.67237925,46.07459828,0.823716809,2,Coconut
31.77693027,0.641250984,253.6537555,5.665493917,86.07842449,57.42108085,70.60566446,1.329672365,2,Rubber
28.34825624,0.529852525,87.67549573,5.835937011,62.79517557,54.85388038,54.09096393,0.589571765,2,banana
19.20741164,0.227436131,117.1280971,6.902596307,58.85365365,151.5152929,-20.50910839,1.206772516,0,pomegranate
23.58973466,0.7563867,93.39279357,5.985933425,62.19661632,66.00798379,53.04162815,3.241983684,1,apple
50.17984508,0.541232023,73.25980931,6.154455618,52.24596429,47.8939371,44.60313145,0.985949685,2,grapes
27.64393056,0.717368945,18.60629123,8.82843282,51.41217591,63.60450007,48.31616581,1.567836163,1,muskmelon
25.91151732,0.404850724,23.85564081,6.982616617,56.03665267,-37.64973873,67.79084598,2.476627408,3,watermelon
4.011486444,0.698370421,46.17940026,3.908612908,55.75432366,-37.64973873,49.68014649,2.39505601,1,Moth Beans
20.88956764,0.39070857,74.5398501,6.522822572,52.19382772,33.57508762,58.22074409,3.241983684,2,Chickpea
50.46608949,0.444437256,57.00326803,6.563592925,49.88704507,39.62778755,50.50261032,1.177057475,2,millet
4.011486444,0.616934952,46.73895126,6.365105271,57.54328678,74.55292358,-20.50910839,1.221113122,2,grapes
28.89723936,0.925019853,194.8523742,5.350071768,73.95370944,43.32984277,53.19707355,3.241983684,1,rice
34.27525471,0.59850732,95.86053832,6.444762859,60.61682339,57.50948201,52.30724897,1.421588441,0,Black gram
19.85683744,0.569562516,118.9325218,7.121237089,59.92915533,111.0312099,76.43944887,0.786771636,3,Cotton
26.84675731,0.464774467,53.82807328,7.757510706,56.03829937,54.97058982,55.12333981,2.289434821,1,Black gram
25.16039035,0.605473132,241.0119154,5.719833909,73.30378882,47.11136797,70.60104084,1.646037022,2,Rubber
27.69664593,0.972361206,109.2454746,6.648941141,60.57207723,78.61431542,99.16638959,1.106601822,3,Coffee
33.1466781,0.451411063,277.9446374,5.717895632,84.55224796,42.14111001,72.02081576,1.171764153,2,Rubber
28.82446366,0.609819965,169.9057523,6.977066518,64.51525599,142.5908582,145.9951163,0.882072922,0,Pigeon Peas
23.08508925,0.425728453,82.65926548,6.702766792,86.96971052,106.1995122,69.74434226,1.326788035,3,pomegranate
31.33923959,0.722691609,6.087050953,6.874045672,86.96971052,128.5671167,46.98823665,1.245487797,0,muskmelon
25.08879892,0.640026817,149.1417783,6.73258083,62.90755148,92.89598901,121.8424806,0.882202323,0,Coffee
24.1933518,0.750719795,141.4995036,5.886807234,63.4865503,177.3144812,53.43779325,1.031712179,1,apple
23.91023092,0.625843101,99.94434279,5.781689346,59.73148068,49.08711566,47.20106734,2.318456643,2,pomegranate
24.84547057,0.767154928,43.26761965,6.208934762,55.13743449,68.80589812,57.27386078,2.48272765,1,watermelon
18.61582195,0.741791315,92.08357111,7.884005903,49.62656795,177.3144812,49.0256576,3.241983684,4,Chickpea
30.82012689,0.374483827,174.5803562,6.173218773,65.56121278,52.28200669,71.29950086,1.384762391,2,wheat
30.19613439,0.59333246,77.94656587,6.55934868,63.98777601,81.17806959,61.75072282,1.325470296,2,Sugarcane
31.77693027,0.641250984,253.6537555,5.665493917,86.07842449,57.42108085,70.60566446,1.329672365,2,Rubber
16.55900145,0.561660283,99.8782976,7.362480701,51.53289268,57.96307875,-20.50910839,2.359555273,1,Chickpea
25.80629467,0.368599638,199.8615556,6.532278045,72.61844891,106.0401139,122.559967,-0.280559958,3,Jute
16.55900145,0.561660283,99.8782976,7.362480701,51.53289268,57.96307875,-20.50910839,2.359555273,1,Chickpea
42.5614501,0.558388335,24.46818444,5.81925052,51.92632495,16.71823678,159.5640307,0.608792172,2,millet
28.33004667,0.595494142,108.3629645,7.066179926,65.40294278,139.0387772,113.6571823,1.115339242,3,orange
19.24094789,0.678061112,96.47529384,6.052548929,63.44768976,68.13849562,49.17219661,2.342510531,2,pomegranate
31.95636171,0.513598813,310.1740082,5.646129953,84.47057895,34.85144734,63.70977867,1.487129107,2,Rubber
53.88986008,0.671031317,61.05725068,5.27879341,60.92610918,44.89747203,46.40561629,2.382453538,2,Adzuki Beans
28.59485333,0.580601317,76.93892897,7.211985164,57.96682605,159.2368441,124.2903272,0.791546695,0,Black gram
53.8639157,0.447071849,116.639629,5.728873179,72.43843325,58.70032389,53.34935262,0.567078144,2,Adzuki Beans
25.43785,0.66987147,98.71379167,5.572919101,60.7399512,42.74197412,59.37357033,2.416820259,2,pomegranate
39.5704576,0.584242098,85.17636778,5.439495277,60.42883135,46.39882107,-20.50910839,2.062222957,2,grapes
27.88427301,0.508575893,40.73006477,6.813859347,54.45416527,105.5902472,60.82113262,0.832636075,3,watermelon
25.82448572,0.678957265,114.1907514,6.455532481,63.45018743,79.64732311,60.74764623,0.645875526,2,banana
24.28950777,0.736699102,63.06810321,6.37270854,56.35800503,49.00327738,46.69588918,1.473656439,1,watermelon
21.97035305,0.734793622,132.3111979,8.82843282,35.52771842,66.66115472,66.9703826,3.241983684,2,apple
50.4943523,0.494810945,146.5126689,5.742202552,75.86263461,40.25068724,56.16653109,0.421347626,2,Adzuki Beans
24.10841657,0.723924287,225.4881231,6.753936977,73.66761391,83.50161097,85.4681021,1.025208586,2,rice
20.3277886,0.79769165,106.473449,6.084593431,62.54602848,65.41441723,54.96207014,1.369790418,1,apple
44.00428583,0.622369021,54.55869313,6.159347938,51.92402411,27.44504269,44.51452689,2.028946973,2,millet
27.7428784,0.488522903,177.5761747,5.058029434,86.96971052,44.26987622,50.57781542,1.33051342,2,Tea
20.71585889,0.454911997,33.74154868,6.870671938,53.81550023,94.88034153,59.11823759,2.068540012,3,Lentil
27.55057174,0.711357772,148.7967948,5.389426117,74.64480944,43.71343059,56.17401415,1.13647757,2,Coconut
28.69463336,0.419444887,69.55529073,8.82843282,53.30922718,73.14863454,58.67357775,1.578196713,3,Lentil
27.99174015,0.47436567,32.75294648,3.453340831,86.96971052,29.58449622,44.29700537,0.710977923,2,Moth Beans
51.8050427,0.429510412,46.93875226,5.401349347,61.52805429,41.71456599,38.37857116,2.208644633,2,Adzuki Beans
24.69173478,0.710155356,125.0654209,5.444027581,63.18528147,54.34503468,60.25598166,2.320533143,1,banana
29.39691549,0.54252045,107.8728484,4.932460513,58.51424782,22.04359712,51.33547002,1.263574571,2,mango
